UGPA,LSAT,ZFYA,amerind,asian,black,hisp,mexican,other,puerto,white,female,male
3,36,0.09,0,0,0,0,0,0,0,1,1,0
3.1,30,-0.35,0,0,0,0,0,0,0,1,0,1
2.2,39,0.58,0,0,0,1,0,0,0,0,0,1
3.6,30,0.3,0,0,0,0,0,0,0,1,1,0
3.6,36,-0.1,0,0,0,0,0,0,0,1,0,1
2.6,37,1.53,0,0,0,0,0,0,0,1,1,0
3.6,31,0.34,0,0,0,0,0,0,0,1,0,1
3.2,41,1.53,0,0,0,0,0,0,0,1,0,1
3.1,35,-0.68,0,0,0,0,0,0,0,1,0,1
3.2,35,-0.17,0,0,0,0,0,0,0,1,1,0
2.9,35,-0.42,0,0,0,0,0,0,0,1,0,1
3.3,30,0.85,0,0,0,0,0,0,0,1,0,1
3.9,40,2.48,0,0,0,0,0,0,0,1,0,1
3.4,36,0.27,0,0,0,0,0,0,0,1,0,1
2.7,29,0.88,0,0,0,0,0,0,0,1,0,1
3.2,37,0.58,0,0,0,0,0,0,0,1,0,1
3.1,30,1.99,0,0,0,0,0,0,0,1,0,1
3.1,31,0.51,0,1,0,0,0,0,0,0,0,1
3.6,37,0.81,0,0,0,0,0,0,0,1,1,0
2.8,29,-1.03,0,0,1,0,0,0,0,0,0,1
3,35,-0.61,0,0,0,0,0,0,0,1,0,1
3.4,40,-0.73,0,0,0,0,0,0,0,1,0,1
2.9,29,-0.02,0,0,0,0,0,0,0,1,0,1
2.5,35,0.02,0,0,0,0,0,0,0,1,0,1
3.4,32,0.65,0,0,0,0,0,0,0,1,0,1
2.7,36,-0.05,0,0,0,0,0,0,0,1,1,0
3.3,36,0.53,0,0,0,0,0,0,0,1,0,1
2.5,36,-1.1,0,0,0,0,0,0,0,1,0,1
3.6,36,1.18,0,0,0,0,0,0,0,1,0,1
3.2,32,0.76,0,0,0,0,0,0,0,1,0,1
3.5,27,-1.05,0,0,0,0,0,0,0,1,1,0
3.2,19,-0.7,0,0,1,0,0,0,0,0,1,0
3.1,35,1.71,0,0,0,0,0,0,0,1,1,0
3.2,31,-0.82,0,0,0,1,0,0,0,0,1,0
2.8,36,-0.17,0,0,0,0,0,0,0,1,0,1
3.7,38,-0.05,0,0,0,0,0,0,0,1,1,0
3.2,34,0.37,0,0,0,0,0,0,0,1,0,1
2.8,38,0.44,0,0,0,0,0,0,0,1,0,1
3.4,36,0.46,0,0,0,0,0,0,0,1,1,0
3.7,31,-0.49,0,0,0,0,0,0,0,1,0,1
2.6,23,0.48,0,0,1,0,0,0,0,0,1,0
3.8,37,0.72,0,0,0,0,0,0,0,1,0,1
3.3,33,-1.24,0,0,0,0,0,0,0,1,1,0
3.3,35,-0.7,0,0,0,0,0,0,0,1,0,1
3.2,36,0.83,0,0,0,0,0,0,0,1,0,1
3.4,41,-0.05,0,0,0,0,0,0,0,1,0,1
3.5,34,0.55,0,0,0,0,0,0,0,1,1,0
2.9,27,-0.77,0,1,0,0,0,0,0,0,1,0
3.3,29,-0.98,0,0,0,0,0,0,0,1,0,1
3.3,33,1.27,0,0,0,0,0,0,0,1,1,0
2.9,32,-0.62,0,0,0,0,0,0,0,1,0,1
2.3,39,0.51,0,0,0,0,0,0,0,1,0,1
3.7,23,-0.17,0,1,0,0,0,0,0,0,0,1
3.4,39,-0.56,0,0,0,0,0,0,0,1,1,0
3,39,-0.42,0,0,0,0,0,0,0,1,1,0
3.8,32,-0.08,0,0,0,0,0,0,0,1,1,0
3.3,29,-1.19,0,0,0,0,0,0,0,1,0,1
3.3,36,-0.49,0,0,0,0,0,0,0,1,1,0
2.4,27,-1.66,0,0,1,0,0,0,0,0,0,1
3.5,30,1.39,0,0,0,0,0,0,0,1,0,1
3.5,38,2.78,0,0,0,0,0,0,0,1,0,1
2.8,34,-0.63,0,0,0,0,0,0,0,1,1,0
3.7,37,1.32,0,0,0,0,0,0,0,1,0,1
2.7,36,-1.28,0,0,0,1,0,0,0,0,1,0
3,43,0.1,0,0,0,0,0,0,0,1,0,1
2.9,42,-0.62,0,0,0,0,0,0,0,1,0,1
2.9,25,-0.9,0,0,0,0,0,0,0,1,0,1
3.4,38,1.23,0,0,0,0,0,0,0,1,1,0
3.6,42,0.7,0,0,0,0,0,0,0,1,0,1
3.5,29,-0.24,0,0,0,0,0,0,0,1,0,1
3.1,41,-0.05,0,0,0,0,0,0,0,1,0,1
3.6,38,-1,0,0,0,0,0,0,0,1,1,0
3.3,35,2.26,0,0,0,0,0,0,0,1,1,0
3.6,36,-0.85,0,0,0,0,0,0,0,1,1,0
3.5,39,-0.71,0,0,0,0,0,0,0,1,1,0
2.9,28,-1.96,0,0,0,0,0,0,0,1,0,1
3.3,42,-1.13,0,0,0,0,0,0,0,1,1,0
3.5,43,0.74,0,0,0,0,0,0,0,1,1,0
3.2,35,-0.66,0,0,0,0,0,0,0,1,0,1
2.5,42,-0.41,0,0,0,0,0,0,0,1,1,0
2.7,42,-0.02,0,0,0,0,0,0,0,1,1,0
3.7,40,0.21,0,0,0,0,0,0,0,1,1,0
3.5,38,1.61,0,0,0,0,0,0,0,1,1,0
3.3,40,-0.96,0,0,0,0,0,0,0,1,0,1
3.5,39,0.98,0,0,0,0,0,0,0,1,1,0
3.6,36,-0.58,0,0,0,0,0,0,0,1,1,0
3,36,-1.19,0,0,0,0,0,0,0,1,0,1
3.2,39,-1.34,0,0,0,0,0,0,0,1,0,1
3.9,37,0.55,0,0,0,0,0,0,0,1,1,0
2.7,31,0.58,0,0,0,0,0,0,0,1,0,1
4,41,2.44,0,0,0,0,0,0,0,1,1,0
3,41,-1.45,0,0,0,0,0,0,0,1,0,1
3.3,36,1.04,0,0,0,0,0,0,0,1,1,0
3.7,39,-1.58,0,0,0,0,0,0,0,1,1,0
3.8,37,0.4,0,0,0,0,0,0,0,1,1,0
3.1,37,-0.51,0,0,0,0,0,0,0,1,0,1
3.8,36,-0.66,0,0,0,0,0,0,0,1,0,1
2.6,35,0.02,0,0,0,0,0,0,0,1,0,1
3.8,40,0.64,0,0,0,0,0,0,0,1,0,1
3.4,39,0.4,0,0,0,0,0,0,0,1,0,1
3.9,33,0.59,0,0,0,0,0,0,0,1,0,1
3.8,38,0.55,0,0,0,0,0,0,0,1,0,1
3.3,41,0.64,0,0,0,0,0,0,0,1,1,0
3.1,40,1.08,0,0,0,0,0,0,0,1,0,1
3.2,40,1.89,0,0,0,0,0,0,0,1,1,0
3.5,37,-0.13,0,0,0,0,0,0,0,1,1,0
3.3,41,1.51,0,0,0,0,0,0,0,1,0,1
3.6,39,-0.66,0,0,0,0,0,0,0,1,1,0
3.5,38,0.42,0,0,0,0,0,0,0,1,0,1
3.1,42,0.68,0,0,0,0,0,0,0,1,0,1
3.6,37,1.27,0,0,0,0,0,0,0,1,1,0
2.8,32,-1.28,0,0,1,0,0,0,0,0,1,0
2.8,32,-1.09,0,0,0,0,0,0,0,1,1,0
3.1,41,-0.51,0,0,0,0,0,0,0,1,0,1
3.7,36,0.17,0,0,0,0,0,0,0,1,1,0
3.4,38,-1.19,0,0,0,0,0,0,0,1,0,1
3.3,34,1.02,0,0,0,0,0,0,0,1,0,1
3.6,38,0.36,0,0,0,0,0,0,0,1,0,1
2.9,43,0.59,0,0,0,0,0,0,0,1,0,1
3.7,35,0.64,0,0,0,0,0,0,0,1,1,0
3.6,37,-0.77,0,1,0,0,0,0,0,0,0,1
3.9,37,1.36,0,0,0,0,0,0,0,1,1,0
3.2,40,0.59,0,0,0,0,0,0,0,1,0,1
3.2,45,1.57,0,0,0,0,0,0,0,1,1,0
3.3,40,2.15,0,0,0,0,0,0,0,1,0,1
3.4,40,1.36,0,0,0,0,0,0,0,1,0,1
2.8,32,-0.92,0,0,0,0,1,0,0,0,1,0
3.7,36,0.1,0,0,0,0,0,0,0,1,0,1
3.5,30,-1.75,0,0,0,0,0,0,0,1,1,0
3.7,37,0.74,0,0,0,0,0,0,0,1,0,1
2.7,36,-0.36,0,0,0,0,0,0,0,1,0,1
2.9,35,1.25,0,0,0,0,0,0,0,1,1,0
3.2,28,0.57,0,0,0,0,0,0,0,1,1,0
2.4,39,0.16,0,0,0,0,0,0,0,1,0,1
3.9,41,1.17,0,0,0,0,0,0,0,1,1,0
3.5,29,0.2,0,0,0,0,0,0,0,1,0,1
3.1,36,-0.56,0,0,0,0,0,0,0,1,0,1
3.8,39,-0.32,0,0,0,0,0,0,0,1,0,1
3,36,0.36,0,0,0,0,0,0,0,1,0,1
